First Name,Last Name,Hash ID,Counselor Name,High School,School CEEB Code,Rank,NPC,Predicted_Probabilty
Isabella,Brewer,jqM9G,Shelby LeGardye,Arlington High School,430042,41,No,0.924635231
Molly,Heath,9Y2Yk,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Caleyha,McKenzie,7VjVx,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Megan,Linsy,XkA2x,Shelby LeGardye,Arlington High School,430042,41,No,0.924635231
Maci,McMahon,dNRxy,Shelby LeGardye,Arlington High School,430042,41,No,0.924635231
Haeili,Bradshaw,3YEda,Shelby LeGardye,White Station High School,431510,41,No,0.924635231
Martha,Rutherford,zbyRQ,Shelby LeGardye,Arlington High School,430042,41,No,0.924635231
Elizabeth,Holst,pEdxZ,Shelby LeGardye,Arlington High School,430042,41,No,0.924635231
Kama,Mellard,QA5Ep,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Jada,Woods,9Ybby,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Asia,Boyd,9YzYP,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Abbey,Hood,QApR2,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Brianna,Moore,PNbj7,Shelby LeGardye,Munford High School,431615,41,No,0.924635231
Mary,Kelly,aajkv,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Erinn,Sheridan,9YVjn,Shelby LeGardye,Arlington High School,430042,41,No,0.924635231
Ella,McIntosh,RQ474,Shelby LeGardye,Tipton-Rosemark Academy,431553,41,No,0.924635231
Avery,Williams,xzygv,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Emily,Scott,kaMMX,Shelby LeGardye,Covington High School,430480,41,No,0.924635231
Xander,Gillespie,D5pzb,Kiara  Sims,Liberty Junior Senior High School,372438,63,No,0.920030057
Katy,Fisher,pGQ2g,Shelby LeGardye,West Springfield High School,222370,64,No,0.919149697
Carson,Todd,DkYAp,Shelby LeGardye,Evangelical Christian School,430453,65,No,0.918789804
Jackson,Gallaher,kaZ2z,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
James,Gatlin,n7Zyb,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Troy,Delossantos,aanX3,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Brody,Hufstetler,GAPA4,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
Eli,Burlison,dNyVD,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Brayden,Johnson,9YPEz,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
Maddux,Anderson,g5zv9,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Emmanuel,Mosley,E2PZa,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Owen,Geiger,kaQGp,Shelby LeGardye,Munford High School,431615,65,No,0.918789804
Nathan,Langley,7Vjz7,Shelby LeGardye,Bartlett High School,430070,65,No,0.918789804
John,Richardson,aapzp,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
David,Latham,n7vRM,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
Ian,Robinson,vy45g,Shelby LeGardye,Covington High School,430480,65,No,0.918789804
Sean,Brubaker,Vq3Gx,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Peyton,Miller,E272z,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Rhys,Roberts,E279V,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Blake,Dexter,y79xq,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
Joseph,Dawson,DkgpQ,Shelby LeGardye,Bartlett High School,430070,65,No,0.918789804
Zachary,Graham,RQnnZ,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Taten,Boles,pEkgk,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
Nehemiah,Garrison,GAYV2,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
Trent,Gatewood,RQ4xY,Shelby LeGardye,Arlington High School,430042,65,No,0.918789804
Luke,Phillips,n7jxq,Shelby LeGardye,Brighton High School,430165,65,No,0.918789804
Hayden,Hunt,npyM5,Shelby LeGardye,Bartlett High School,430070,65,No,0.918789804
Mylea,Davis,b3AEz,Shelby LeGardye,Unaka HS,430632,90,No,0.918637455
Donna,Johnson,v73Ed,Shelby LeGardye,Clinton HS,430390,90,No,0.918637455
Terrica,Peete,3MAqv,Shelby LeGardye,Central High School,431390,92,No,0.915715694
Addison,Warren,QAkpY,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Angela,Calva Ramirez,4GEAG,Shelby LeGardye,Millington Central High School,431550,92,No,0.915715694
Samya,Saint-Victor,Y25gP,Shelby LeGardye,Craigmont High School,431397,92,No,0.915715694
Cali,Dunn,AgPv4,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Rebecca,Crislip,vyddj,Shelby LeGardye,White Station High School,431510,92,No,0.915715694
Ava,King,kaQNq,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Cornya,Cobb,9Y27k,Shelby LeGardye,Middle College High School,431446,92,No,0.915715694
Makaila,Grear,9Y2GR,Shelby LeGardye,Covington High School,430480,92,No,0.915715694
Alexis,Fisher,Y24gM,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Anna,Cousar,E2nQ9,Shelby LeGardye,Covington High School,430480,92,No,0.915715694
Lauren,Mayse,g5Vxq,Shelby LeGardye,Millington Central High School,431550,92,No,0.915715694
Janora,Jones,bknGj,Shelby LeGardye,Hollis F Price Middle College High School,431441,92,No,0.915715694
Brezia,Cooper,NkMvZ,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Christen,Moore,vy4Ag,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Orianna,Robinson,Ma9Py,Shelby LeGardye,Houston High School,430758,92,No,0.915715694
Amyah,Wright,2Y74P,Shelby LeGardye,White Station High School,431510,92,No,0.915715694
Molly,Oswalt,Vq3Ej,Shelby LeGardye,Brighton High School,430165,92,No,0.915715694
Eilene,Liu,RQdEq,Shelby LeGardye,White Station High School,431510,92,No,0.915715694
Lilly,Fly,GAv7R,Shelby LeGardye,Tipton-Rosemark Academy,431553,92,No,0.915715694
Mekiah,Hayslett,jqkQv,Shelby LeGardye,Covington High School,430480,92,No,0.915715694
Rayvn,Webster,y7RVb,Shelby LeGardye,Germantown High School,430760,92,No,0.915715694
Bryona,Robinson,qvnvg,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Abigail,Hamm,E2kd3,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Karmen,Wright,xzxEY,Shelby LeGardye,Middle College High School,431446,92,No,0.915715694
Rachel,Bonner,vyVan,Shelby LeGardye,Hamilton High School,431415,92,No,0.915715694
Njwi,Achoh,GANk5,Shelby LeGardye,Germantown High School,430760,92,No,0.915715694
Kasidi,Jordan,DkgV9,Shelby LeGardye,East High School,431405,92,No,0.915715694
Jacqueline,Friedrich,y79Nn,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Kinley,Escue,bkPaG,Shelby LeGardye,Covington High School,430480,92,No,0.915715694
Caitlin,Elam,kaKXk,Shelby LeGardye,Covington High School,430480,92,No,0.915715694
Annie,Spencer,NkaPg,Shelby LeGardye,Munford High School,431615,92,No,0.915715694
Kiristen,Harris,VqpQn,Shelby LeGardye,Ridgeway High School,431461,92,No,0.915715694
Madie,Rose,qvNVk,Shelby LeGardye,Covington High School,430480,92,No,0.915715694
Ashley,Williams,7VYzx,Shelby LeGardye,East High School,431405,92,No,0.915715694
Gracyn,Ramsey,n7jPj,Shelby LeGardye,Covington High School,430480,92,No,0.915715694
Shakiyah,Shepard,pEkMY,Shelby LeGardye,Germantown High School,430760,92,No,0.915715694
Kalia,Duckworth,Y2VqG,Shelby LeGardye,Millington Central High School,431550,92,No,0.915715694
Hannah,Brigman,QANPz,Shelby LeGardye,Brighton High School,430165,92,No,0.915715694
Hannah,Lam,vypQN,Shelby LeGardye,White Station High School,431510,92,No,0.915715694
Cayenne,Stephens,qvN7n,Shelby LeGardye,White Station High School,431510,132,No,0.915048659
Emily,Barua,AgXMV,Scarlett Barnes,West Boca Raton Community Hs,100194,133,No,0.914938569
Jonathan,McElroy,N4pRk,Tommy Newton,Ashdown High School,40060,134,No,0.914436817
Jayden,Fricks,MAgjD,Tommy Newton,Ashdown High School,40060,134,No,0.914436817
Michelle,Sterling,Xk4EZ,Shelby LeGardye,Middle College High School,431446,136,No,0.91342169
Zaniya,Haley,pEQxz,Shelby LeGardye,Craigmont High School,431397,136,No,0.91342169
Renaja,Banks,4Gv7p,Shelby LeGardye,Craigmont High School,431397,136,No,0.91342169
Amya,Ward,Dkq5x,Shelby LeGardye,Craigmont High School,431397,136,No,0.91342169
Owen,Minor,7VMvX,Shelby LeGardye,Franklin High School,430705,140,No,0.91237098
Jackson,Boger,xzVVq,Shelby LeGardye,Battle Ground Academy,430700,140,No,0.91237098
Payton,Ognibene,bkbV5,Shelby LeGardye,McKenzie High School,431330,142,No,0.911769032
Zion,Rayford,5yPD9,Shelby LeGardye,Central High School,431390,143,No,0.909246266
Matthew,McDonnell,3YPP4,Shelby LeGardye,White Station High School,431510,143,No,0.909246266
Caden,Owen,ZNdbY,Shelby LeGardye,Covington High School,430480,143,No,0.909246266
Bradley,Lindsey,QAPGQ,Shelby LeGardye,Brighton High School,430165,143,No,0.909246266
Jason,Hungerford,xzqk5,Shelby LeGardye,Millington Central High School,431550,143,No,0.909246266
Clayton,Spencer,pEQd9,Shelby LeGardye,Ripley High School,431980,143,No,0.909246266
Aiden,Barton,pEQp4,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
William,Ivy,Agajn,Shelby LeGardye,Whitehaven High School,432430,143,No,0.909246266
Luke,Gerstner,xzd9j,Shelby LeGardye,Christian Brothers High School,431395,143,No,0.909246266
Dorian,Robinson,KKz79,Shelby LeGardye,Covington High School,430480,143,No,0.909246266
Beau,Downing,7VjKz,Shelby LeGardye,Tipton-Rosemark Academy,431553,143,No,0.909246266
Caleb,McCalla,AganZ,Shelby LeGardye,Evangelical Christian School,430453,143,No,0.909246266
Porter,Kelly,jq9yb,Shelby LeGardye,White Station High School,431510,143,No,0.909246266
Nicolas,Maxey,GARZx,Shelby LeGardye,Tipton-Rosemark Academy,431553,143,No,0.909246266
David,Anderson,9Y2bp,Shelby LeGardye,White Station High School,431510,143,No,0.909246266
Carlton,McClelland,4Gvdv,Shelby LeGardye,Germantown High School,430760,143,No,0.909246266
Alexander,Walker,3Y59y,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
William,Garcia,pEdZv,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
Aidan,Carnell,PN4ND,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
Ryan,Coley,y7Ryx,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
William,Davis,Ma27v,Shelby LeGardye,Covington High School,430480,143,No,0.909246266
Elijah,Ramsey,RQnYp,Shelby LeGardye,Tipton-Rosemark Academy,431553,143,No,0.909246266
Lucas,Mallory,E2kD7,Shelby LeGardye,White Station High School,431510,143,No,0.909246266
Telliuno,Mitchell,Maq49,Shelby LeGardye,Central High School,431390,143,No,0.909246266
Cooper,Magan,pEp5N,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
Anthony,Quinn,n73Zz,Shelby LeGardye,Central High School,431390,143,No,0.909246266
Taylor,Henderson,VqpKk,Shelby LeGardye,Covington High School,430480,143,No,0.909246266
Tylon,Walker,ZNxzK,Shelby LeGardye,Central High School,431390,143,No,0.909246266
Ethan,Livingston,PNkAj,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
Jefferson,Travis,ZNx9n,Shelby LeGardye,Munford High School,431615,143,No,0.909246266
Noah,Dorsey,EdppE,Shelby LeGardye,White Station High School,431510,143,No,0.909246266
Grace,Pellegra,GADbb,Shelby LeGardye,Faith Heritage Christian Academy,431551,174,No,0.907015264
Hailey,Skelton,3YPZz,Shelby LeGardye,Bartlett High School,430070,174,No,0.907015264
Trinity,Jenkins,vy3V4,Shelby LeGardye,Germantown High School,430760,174,No,0.907015264
Sara,Smith,g5zjX,Shelby LeGardye,Bartlett High School,430070,174,No,0.907015264
Emily,Erhardt,Ma9D4,Shelby LeGardye,Houston High School,430758,174,No,0.907015264
Jordyn,Sanders,g5Vj4,Shelby LeGardye,Houston High School,430758,174,No,0.907015264
Yareli,Esparza,GAR3p,Shelby LeGardye,White Station High School,431510,174,No,0.907015264
Komori,Brooks,vyQGa,Shelby LeGardye,Kirby High School,430762,174,No,0.907015264
Charnaeh,Brown,jqkGX,Shelby LeGardye,Arlington High School,430042,174,No,0.907015264
Sophie,Goold,dNEKX,Shelby LeGardye,Houston High School,430758,174,No,0.907015264
Emma,Escue,Y2x3Q,Shelby LeGardye,Central Baptist School,431389,174,No,0.907015264
Kylee,Kee,qvnPa,Shelby LeGardye,Bartlett High School,430070,174,No,0.907015264
Amara,Sok,bkPA5,Shelby LeGardye,White Station High School,431510,174,No,0.907015264
Ariana,Rowe,2Yppg,Shelby LeGardye,Bartlett High School,430070,174,No,0.907015264
Nyla,Lee,xzyPn,Shelby LeGardye,Bartlett High School,430070,174,No,0.907015264
Rebecca,Hernandez,2Y44P,Shelby LeGardye,White Station High School,431510,174,No,0.907015264
Rashad,Curry,jqdR5,Shelby LeGardye,Craigmont High School,431397,190,No,0.906794071
Jake,Pendergrass,Rq9xY,Shelby LeGardye,Lincoln County High School,430665,191,No,0.900925457
Luke,Robbins,AgP5M,Shelby LeGardye,Bartlett High School,430070,192,No,0.89995122
Erick,Gonzalez,aanMQ,Shelby LeGardye,White Station High School,431510,192,No,0.89995122
Deriyo,Street,7VaVA,Shelby LeGardye,Kirby High School,430762,192,No,0.89995122
Caleb,Sturkey,VqXY2,Shelby LeGardye,Craigmont High School,431397,192,No,0.89995122
Ethan,Burton,nVKjq,Scarlett Barnes,Council Grove HS,170690,196,No,0.894761741
Isabella,Woods,REyZA,Shelby LeGardye,Houston High School,430758,197,No,0.890146673
Kolby,Creamer,pZpR4,Scarlett Barnes,Lincoln HS,11635,198,No,0.885374844
George,Manson,3zbDA,Lainie Cockrum,W R Farrington HS,120125,199,No,0.884081006
Lawson,Aaron,ZNXvY,Shelby LeGardye,Evangelical Christian School,430453,200,No,0.880844295
Jakob,Martin,z7X9K,Kiara  Sims,Collinsville High School,370865,201,No,0.873072743
Leta,Adamo,vY27v,Scarlett Barnes,Okeechobee HS,101270,202,No,0.871604562
Rylan,Lerma,aadYy,Kiara  Sims,Mustang High School,372500,203,No,0.865843952
Jalen,Joseph,y34kv,Tommy Newton,Mansfield Summit High School,444461,204,No,0.864887536
Ella,Hinson,3Mj5q,Kiara  Sims,St Clair Senior High School,262860,205,No,0.863355935
Brook,Barral,2YnPN,Scarlett Barnes,Parkview HS,111826,206,No,0.862041891
Meghan,Cassells,qvpV5,Scarlett Barnes,James Island HS,410400,206,No,0.862041891
Olivia,Ellington,XG39X,Shelby LeGardye,Lexington High School,431207,208,No,0.861818731
Aditi,Kowta,MA9qA,,North Penn HS,392155,209,No,0.860341966
Sarah,Barbour,K23Rn,Scarlett Barnes,Shrewsbury HS,221930,210,No,0.859586477
Ty,Vinson,4Gnx9,Kiara  Sims,Warner High School,373800,211,No,0.858184218
Kash,Pope,dNaYb,Kiara  Sims,Caddo High School,370535,211,No,0.858184218
Nathaniel,Downey,qvVvE,Scarlett Barnes,Charlotte Latin School,340663,213,No,0.857399046
Isaac,Wilson,7V3Nv,Shelby LeGardye,Dyersburg High School,430610,214,No,0.851103425
Sebastian,Costales,KNEQz,Shelby LeGardye,Farragut High School,430435,215,No,0.84937489
Hallie,Fender,d4zv9,Kiara  Sims,,,216,No,0.847859383
Brandon,Kirk,ZygN4,Tommy Newton,Little Elm High School,444198,217,No,0.845902801
Ryston,Penter,Gb3Ab,Tommy Newton,Chillicothe HS,441265,217,No,0.845902801
Willie,Parker,Qnxy4,Shelby LeGardye,Haywood High School,430190,219,No,0.842893898
Allen,Dugas,xRdEV,Kiara  Sims,Hahnville High School,191135,220,No,0.83924365
Samantha,Myers,7VZak,Shelby LeGardye,Blackman High School,431636,221,No,0.838434398
Aaron,Pastorial,ZNPYQ,Shelby LeGardye,Blackman High School,431636,221,No,0.838434398
Brendan,Kelleher,g5pj4,Shelby LeGardye,Westmoreland High School,432415,221,No,0.838434398
Sophia,Smith,K2gaK,Shelby LeGardye,Fred J Page HS,430405,221,No,0.838434398
Jacob,Zimmerman,2A9bk,Shelby LeGardye,White Station High School,431510,221,No,0.838434398
Mia,Maslowski,pG939,,Great Valley HS,392363,226,No,0.836263537
Jack,Faust,d4RXv,,Lafayette High School,260948,227,No,0.836158812
Presley,Edmiston,g5p9Z,Shelby LeGardye,Jackson Christian School,430956,228,No,0.833155334
Tayler,Southern,4z3zz,Kiara  Sims,Franklin Parish High School,193026,229,No,0.830771267
Hilary,Pillaro,4zaNp,Kiara  Sims,Hanson Memorial HS,190950,229,No,0.830771267
Broc,Harland,z7VYp,Scarlett Barnes,Ulysses HS,172975,229,No,0.830771267
Cooper,Jackson,d47kG,Scarlett Barnes,Lincoln Southwest High School,281309,229,No,0.830771267
Chyeanne,Cossey,kGy77,Lainie Cockrum,Maumelle Charter High School,41528,233,No,0.827312171
Americas,Weber,Y2vMX,Kiara  Sims,St Clair Senior High School,262860,234,No,0.824754536
Anna,Spavronskaya,zbRVY,Kiara  Sims,Eureka High School,261000,234,No,0.824754536
Cooper,Ross,7qxjV,Kiara  Sims,Bixby High School,370330,236,No,0.821536481
Sahan,Khounh,kEybA,,Pennsbury HS East Campus,395415,237,No,0.817652106
Leah,Hemker,bkdpx,Shelby LeGardye,Hernando High School,251224,238,No,0.816953957
Ava,Braggs,ZNa9Y,Shelby LeGardye,Hernando High School,251224,238,No,0.816953957
Peyton,Williamson,AgaVp,Shelby LeGardye,Hernando High School,251224,238,No,0.816953957
Maya,Sandidge,4GvKb,Shelby LeGardye,Horn Lake High School,251300,238,No,0.816953957
Mackenzie,Presley,2Y7kZ,Shelby LeGardye,Hernando High School,251224,238,No,0.816953957
Jenna,Okeefe,zbqPk,Shelby LeGardye,Hernando High School,251224,238,No,0.816953957
Mari-Madeline,McGehee,3Ydbq,Shelby LeGardye,Tunica Institute Of Learning,253001,238,No,0.816953957
Hayden,Smith,EAVb7,Shelby LeGardye,Westview High School,431280,245,No,0.816122711
Tanner,Harris,dNP3E,Scarlett Barnes,Pell City HS,12115,246,No,0.815088034
Kyle,Norris,9YXDQ,Scarlett Barnes,Gardendale HS,11208,246,No,0.815088034
Jared,Shelton,a2DjV,Scarlett Barnes,Cullman HS,10795,246,No,0.815088034
Joseph,Daspit,gKDvp,Scarlett Barnes,Hoover HS,10328,246,No,0.815088034
Marisa,Jennings,DxNZx,Samantha Long,Shades Valley HS,10415,246,No,0.815088034
William,Hueter,KK2X3,Kiara  Sims,Fox High School,260087,251,No,0.812731028
Kailyn,Cendroski,45Qzd,Kiara  Sims,Monett High School,262240,252,No,0.812395573
Madison,Hawk,g5zVK,Kiara  Sims,Episcopal Collegiate School,41417,253,No,0.809205234
Jacelyn,Kelly,kE95Z,Kiara  Sims,North Little Rock High School,41860,253,No,0.809205234
Bethany,Walker,3R4bA,Shelby LeGardye,Desoto Central High School,252820,255,No,0.80905807
Lilly,Halpenny,y7KdZ,Shelby LeGardye,Southaven High School,252823,255,No,0.80905807
Maycee,Gross,E2kG7,Shelby LeGardye,Northpoint Christian School,252222,255,No,0.80905807
Bethany,Walker,vyVqn,Shelby LeGardye,Desoto Central High School,252820,255,No,0.80905807
Lindsey,McMahon,g5AnG,Shelby LeGardye,Southaven High School,252823,255,No,0.80905807
Maya,Guy,zbMxN,Shelby LeGardye,Northpoint Christian School,252222,255,No,0.80905807
Sarah,Ross,kaMjx,Shelby LeGardye,Northpoint Christian School,252222,255,No,0.80905807
Emily,Wolfe,5y3YZ,Shelby LeGardye,Southaven High School,252823,255,No,0.80905807
Skylynn,Parie,4Gqvv,Shelby LeGardye,Desoto Central High School,252820,255,No,0.80905807
Mary,Fleming,QK9Qy,Shelby LeGardye,Northpoint Christian School,252222,255,No,0.80905807
Beckett,Carroll,QAMV2,Kiara  Sims,Stillwater High School,373370,265,No,0.808352768
Dylan,Stewart,Xk7E3,Scarlett Barnes,Bob Jones HS,11697,266,No,0.807543695
Lexi,Tincknell,DkA37,Scarlett Barnes,Decatur HS,10860,266,Yes,0.807543695
Marya,Younas,2V2aA,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Natalie,Larksukthom,vYZnE,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Kamila,Serrano,AQG9z,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Edith,Cordero,RqDby,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Emma,Menini,4zMqV,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Angelly,Garcia,pG3ZX,Tommy Newton,Richardson Adventist School,445845,268,No,0.807465672
Jessica,Samuel,V7dAZ,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Isabella,Calloway,pG3aN,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Genesis,Soto,xRv4d,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Channing,Mays,Gqba5,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Kendall,Shuey,MA3Zx,Tommy Newton,Justin Wakeland High School,442602,268,No,0.807465672
Melissa,Montanez,AQy7p,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Tapaswini,Bhavanam,j3ZDg,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Berkley,Bruyere,V7VYD,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Sakthivruksha,Vijayakumar,a2Y9b,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Kennedy,Threadgill,a2XgD,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Dafne,Gutierrez,MA4R5,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Carlisle,Noble,9G7Qd,Tommy Newton,Legacy Christian Academy,442634,268,No,0.807465672
Kennedy,Baker,yY39E,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Sarah,Boot,xRzaK,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Riley,Paxton,j3qP4,Tommy Newton,Centennial High School,442633,268,No,0.807465672
Emma,Taylor,pGGY9,Tommy Newton,Legacy Christian Academy,442634,268,No,0.807465672
Kieara,Acello,yYYGV,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Madison,Vue,z77A9,Tommy Newton,Lovejoy High School,444368,268,No,0.807465672
Alexa,Bravo,j33kb,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Raeesa,Karim,kEkZ9,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Stori,James,5zdK9,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Clarisa,Kung,3zQvQ,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Kayla,Ptak,2V5y2,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Landry,Dula,GqybM,Tommy Newton,Justin Wakeland High School,442602,268,No,0.807465672
Zayneh,Razzak,EdbY3,Tommy Newton,Becky Lowery Freshman Center,440100,268,No,0.807465672
Shreya,Bhoja,j3jKp,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Sarah,Larson,yYA2K,Tommy Newton,Frisco High School,442635,268,No,0.807465672
Pawan,Birdi,9GvDD,Tommy Newton,Frisco High School,442635,268,No,0.807465672
